2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:53.3105 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Search Begin
2018-01-18 15:41:53.5260 DESKTOP-2Q89F24 6 SRS1 ::1 ZZ1031SearchFacade Search End
2018-01-18 15:41:53.5710 DESKTOP-2Q89F24 11 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:53.5710 DESKTOP-2Q89F24 11 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:53.5710 DESKTOP-2Q89F24 11 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:53.5870 DESKTOP-2Q89F24 11 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 15:41:53.7915 DESKTOP-2Q89F24 11 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 16:40:18.1673 DESKTOP-2Q89F24 5  ::1 FacadeBase Login Begin
2018-01-18 16:40:18.1963 DESKTOP-2Q89F24 5  ::1 FacadeBase Login End
2018-01-18 16:40:18.2783 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 16:40:18.2883 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-18 16:40:18.2883 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init Begin
2018-01-18 16:40:18.3528 DESKTOP-2Q89F24 5 SRS1 ::1 MenuFacade Init End
2018-01-18 16:40:29.3908 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication Begin
